listingPrice,listingType,marketStatus,conservationStatus,energyEfficiencyLevel,constructionYear,localZone,garage,garageSpots,floorAsNumber,elevator,totalRooms,numberOfBedrooms,numberOfBathrooms,totalArea,livingArea
665000.0,Apartamento,Novo para o Mercado,,NC,2028.0,Carnaxide,False,2,2.0,True,,3.0,3.0,117.0,103.0
490000.0,Apartamento,Novo para o Mercado,,NC,2028.0,Carnaxide,False,1,2.0,True,,2.0,2.0,78.0,78.0
335000.0,Apartamento,Novo para o Mercado,,NC,2028.0,Carnaxide,False,1,2.0,True,,1.0,1.0,49.0,49.0
685000.0,Apartamento,Novo para o Mercado,,NC,2028.0,Carnaxide,False,2,1.0,True,,3.0,3.0,136.0,120.0
675000.0,Apartamento,Novo para o Mercado,,NC,2028.0,Carnaxide,False,2,1.0,True,,3.0,3.0,124.0,108.0
670000.0,Apartamento,Novo para o Mercado,,NC,2028.0,Carnaxide,False,2,1.0,True,,3.0,3.0,126.0,115.0
680000.0,Apartamento,Novo para o Mercado,,NC,2028.0,Carnaxide,False,2,1.0,True,,3.0,3.0,134.0,107.0
515000.0,Apartamento,Novo para o Mercado,,NC,2028.0,Carnaxide,False,2,3.0,True,,2.0,2.0,107.0,78.0
655000.0,Apartamento,Novo para o Mercado,,NC,2028.0,Carnaxide,False,2,1.0,True,,3.0,3.0,117.0,103.0
650000.0,Apartamento,Novo para o Mercado,,NC,2028.0,Carnaxide,False,2,1.0,True,,3.0,3.0,114.0,102.0
795000.0,Moradia,Novo para o Mercado,Como novo,C,2011.0,Caxias,True,2,,False,4.0,3.0,3.0,135.0,165.0
1900000.0,Terreno,Novo para o Mercado,,NC,,Queijas,False,0,,,,,0.0,,
1900000.0,Terreno,Novo para o Mercado,,NC,,Queijas,False,0,,,,,0.0,,
655000.0,Apartamento,Novo para o Mercado,,NC,2028.0,Carnaxide,False,2,1.0,True,,3.0,3.0,117.0,103.0
480000.0,Apartamento,Novo para o Mercado,,NC,2028.0,Carnaxide,False,1,1.0,True,,2.0,2.0,78.0,78.0
805000.0,Duplex,Novo para o Mercado,,NC,2028.0,Carnaxide,False,2,0.0,True,,2.0,2.0,101.0,101.0
930000.0,Duplex,Novo para o Mercado,,NC,2028.0,Carnaxide,False,2,0.0,True,,3.0,2.0,116.0,116.0
795000.0,Duplex,Novo para o Mercado,,NC,2028.0,Carnaxide,False,2,0.0,True,,2.0,2.0,101.0,101.0
860000.0,Duplex,Novo para o Mercado,,NC,2028.0,Carnaxide,False,3,0.0,True,,3.0,2.0,114.0,114.0
350000.0,Apartamento,Novo para o Mercado,Como novo,D,1980.0,Oeiras,False,0,1.0,False,3.0,2.0,2.0,75.0,70.0
850000.0,Apartamento,Novo para o Mercado,Como novo,A+,2021.0,Carnaxide,False,2,1.0,True,4.0,3.0,3.0,134.0,134.0
650000.0,Apartamento,Novo para o Mercado,Bom estado,C,2007.0,Paço De Arcos,False,1,1.0,True,4.0,3.0,2.0,158.0,158.0
845000.0,Apartamento,Novo para o Mercado,Como novo,D,1997.0,Oeiras,True,2,4.0,True,4.0,3.0,3.0,133.0,133.0
1300000.0,Terreno,Novo para o Mercado,,NC,,Oeiras,False,0,,,,,0.0,,
390000.0,Moradia,Novo para o Mercado,Como novo,D,1976.0,Oeiras,False,0,0.0,,3.0,2.0,2.0,107.0,168.0
259000.0,Apartamento,Novo para o Mercado,,B-,1982.0,Linda A Velha,False,0,0.0,True,,2.0,1.0,73.0,73.0
550000.0,Apartamento,Novo para o Mercado,,C,1983.0,Algés,False,1,7.0,True,,4.0,3.0,136.0,116.0
